publication,doi,region,site_name,sample_id,sample_year,plant_name,genus,species,growth_form,habitat,lat,lon,elevation,cat,n_samples,conc_ugg_plant,c20_fconc,c21_fconc,c22_fconc,c23_fconc,c24_fconc,c25_fconc,c26_fconc,c27_fconc,c28_fconc,c29_fconc,c30_fconc,c31_fconc,c32_fconc,c20_fd2h,c20_fd2h_unc,c22_fd2h,c22_fd2h_unc,c24_fd2h,c24_fd2h_unc,c26_fd2h,c26_fd2h_unc,c28_fd2h,c28_fd2h_unc,c30_fd2h,c30_fd2h_unc,c32_fd2h,c32_fd2h_unc,c20_fd13c,c20_fd13c_unc,c22_fd13c,c22_fd13c_unc,c24_fd13c,c24_fd13c_unc,c26_fd13c,c26_fd13c_unc,c28_fd13c,c28_fd13c_unc,c30_fd13c,c30_fd13c_unc,c32_fd13c,c32_fd13c_unc,c21_aconc,c22_aconc,c23_aconc,c24_aconc,c25_aconc,c26_aconc,c27_aconc,c28_aconc,c29_aconc,c30_aconc,c31_aconc,c32_aconc,c33_aconc,c21_ad2h,c21_ad2h_unc,c23_ad2h,c23_ad2h_unc,c25_ad2h,c25_ad2h_unc,c27_ad2h,c27_ad2h_unc,c29_ad2h,c29_ad2h_unc,c31_ad2h,c31_ad2h_unc,c33_ad2h,c33_ad2h_unc,c21_ad13c,c21_ad13c_unc,c23_ad13c,c23_ad13c_unc,c25_ad13c,c25_ad13c_unc,c27_ad13c,c27_a13c_unc,c29_ad13c,c29_ad13c_unc,c31_ad13c,c31_ad13c_unc,c33_ad13c,c33_ad13c_unc
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH197,2019,Alantoparmelia alpicola,Alantoparmelia,alpicola,lichen,terrestrial,63.68,-68.2,33,8,1,1,6.52,2.56,5.64,2.83,5.69,2.47,4,2.14,3.31,2.05,2.29,0,2.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.47,0.36,0.79,0.29,0.79,0.19,0.83,0.23,0.88,0.1,0.71,0.03,0.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Campbell_Lake,CL_S1,2014,Alnus sp.,Alnus,sp.,shrub,terrestrial,68.21,-133.41,46,2,3,1,12.67,2.12,57.78,13.06,112.85,22.89,130.3,16.17,88.65,3.01,15.76,3.37,1.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Eagle_Plains,EAG_S1,2014,Alnus sp.,Alnus,sp.,shrub,terrestrial,66.44,-136.68,370,2,3,1,24.14,2.68,88.58,8.19,124.09,16.05,161.65,19.84,166.35,3.34,10.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-123,2021,Alnus viridis,Alnus,viridis,shrub,terrestrial,58.1,-68.46,61,2,1,1,88.66,12.18,122.28,13.94,79.77,14.94,34.04,19.04,62.14,12.24,14.62,9.36,11.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.35,1.1,5.87,2.3,57.38,6.56,214.47,8.67,45.56,2.56,56.37,5.21,36.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-124,2021,Alnus viridis,Alnus,viridis,shrub,terrestrial,58.1,-68.46,61,2,1,1,158.49,14.4,156.96,16.45,92.06,17.85,49.84,23.22,105.09,17.83,21.3,10.72,14.78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.63,1.94,17.4,4.02,76.28,7.93,239.27,13.49,69.48,3.89,84.17,6.12,54.83,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-125,2021,Alnus viridis,Alnus,viridis,shrub,terrestrial,58.1,-68.46,61,2,1,1,93.59,10.45,93.86,11.77,48.25,13.06,35.84,15.37,68.04,12.69,12.27,7.45,8.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.68,0.93,3.54,2.88,54,6.66,211.58,8.47,64.36,6.33,111.18,6.93,47.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Dalton_Highway,S2_ALVI,2016,Alnus viridis,Alnus,viridis,shrub,terrestrial,65.5,-148.69,343,2,1,0,nan,nan,10,nan,20,nan,20,nan,40,nan,0,nan,0,nan,nan,-221,2,-207,1,-211,0,-222,1,-212,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10,nan,80,nan,10,nan,10,nan,0,nan,nan,nan,nan,-204,0,-224,1,nan,nan,-198,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Finger_Mountain,S4_ALVI,2016,Alnus viridis,Alnus,viridis,shrub,terrestrial,66.36,-150.46,642,2,1,0,nan,nan,0,nan,0,nan,30,nan,70,nan,0,nan,0,nan,nan,nan,nan,nan,nan,-232,1,-235,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10,nan,70,nan,10,nan,10,nan,0,nan,nan,nan,nan,-213,2,-235,0,nan,nan,-209,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Coldfoot,S6_ALVI,2016,Alnus viridis,Alnus,viridis,shrub,terrestrial,67.32,-150.15,347,2,1,0,nan,nan,0,nan,0,nan,30,nan,70,nan,0,nan,0,nan,nan,nan,nan,nan,nan,-214,1,-226,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10,nan,80,nan,0,nan,10,nan,0,nan,nan,nan,nan,-218,1,-230,1,nan,nan,-203,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,KRL-057,2019,Andreaea blytti,Andreaea,blytti,moss,terrestrial,70.56,-68.95,195,6,1,1,19.74,1.66,86.23,5.68,301.17,8.49,144.69,2.06,19.94,0,0.46,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.43,3.8,83.18,6.37,17.29,7.06,22.01,3.38,22.79,1.18,3.26,0.91,1.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
