CoreName,MidpointDepth,TopDepth,Thickness,SamplingID,UBlabID,SamplingNotesAboutSedimentology,AquaticMossMacrofossilAbundance,MassDrySediment,MassTotalLipidExtract,peakAreaC20eicosenoicAcidMethylEster,peakAreaC20FattyAcidMethylEster,peakAreaC21FattyAcidMethylEster,peakAreaC22FattyAcidMethylEster,peakAreaC23FattyAcidMethylEster,peakAreaC24FattyAcidMethylEster,peakAreaC25FattyAcidMethylEster,peakAreaC26FattyAcidMethylEster,peakAreaC27FattyAcidMethylEster,peakAreaC28FattyAcidMethylEster,peakAreaC29FattyAcidMethylEster,peakAreaC30FattyAcidMethylEster,peakAreaC31FattyAcidMethylEster,peakAreaC32FattyAcidMethylEster,FAC20,FAC22,FAC24,FAC26,FAC28,FAC30,FAC32,ACL20to30,CPI20to30,IRMSSequenceNumber2018,SampleNumberIRMSSequence,nameIRMSsequence,d2HC20,stdevC20,analyticalUncC20,nC20,SEMC20,d2HC22,stdevC22,analyticalUncC22,nC22,SEMC22,d2HC24,stdevC24,analyticalUncC24,nC24,SEMC24,d2HC26,stdevC26,analyticalUncC26,nC26,SEMC26,d2HC28,stdevC28,analyticalUncC28,nC28,SEMC28,d2HC30,stdevC30,analyticalUncC30,nC30,SEMC30,epsilonC28-C22,uncEpsilonC28-C22,HPLCSampleID,MassC46StandardAdded,peakArea1302GDGT0,peakArea1300GDGT1,peakArea1300'OHGDGT0,peakArea1298GDGT2,peakArea1298'OHGDGT1,peakArea1298''2OHGDGT0,peakArea1296GDGT3,peakArea1296'OHGDGT2,peakArea1292GDGT4,peakArea1292'GDGT4',peakArea1050brGDGTIIIa5Me,peakArea1050'brGDGTIIIa6Me,peakArea1048brGDGTIIIb5Me,peakArea1048'brGDGTIIIb6Me,peakArea1048''HbrGDGTIIIb,peakArea1046brGDGTIIIc5Me,peakArea1046'brGDGTIIIc6Me,peakArea1036brGDGTIIa5Me,peakArea1036'brGDGTIIa6Me,peakArea1034brGDGTIIb5Me,peakArea1034'brGDGTIIb6Me,peakArea1034''HbrGDGTIIb,peakArea1032brGDGTIIc5Me,peakArea1032'brGDGTIIc6Me,peakArea1022brGDGTIa,peakArea1020brGDGTIb,peakArea1020'HbrGDGTIb,peakArea1018brGDGTIc,peakArea744InternalStandard,totaliGDGT,FAGDGT0,FAGDGT1,FAGDGT2,FAGDGT3,FAGDGT4,FAGDGT4',crenarchaeolConcentration,totalbrGDGTconcentration,totalOHGDGTconcentration,totalHGDGTconcentration,totalbrGDGTpeakArea,FAbrGDGTIIIa,FAbrGDGTIIIa',FAbrGDGTIIIb,FAbrGDGTIIIb',FAbrGDGTIIIc,FAbrGDGTIIIc',FAbrGDGTIIa,FAbrGDGTIIa',FAbrGDGTIIb,FAbrGDGTIIb',FAbrGDGTIIc,FAbrGDGTIIc',FAbrGDGTIa,FAbrGDGTIb,FAbrGDGTIc,ZhaoIWT,ageMedian
07CF8L4,0.25,0,0.5,EKT249,EKT249,no large aquatic moss macrofossils (none even visible),0,1.042,4.26,3.064,3.621,1.728,9.501,7.845,38.163,10.413,33.919,6.833,18.091,2.511,4.865,0.582,0.89,0.03,0.08,0.36,0.32,0.17,0.04,0,25.3,3.9,8,8,EKT249 FAME,-230.9,2.3,4.1,3,2.7,-236.4,0.6,4.6,3,2.7,-232.4,0.3,7.7,3,4.4,-208.5,0.5,5.5,3,3.2,-205.6,1.8,4.6,3,2.9,-222,0.7,4.6,3,2.7,40.3,3.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7522.741
07CF8L4,0.75,0.5,0.5,EKT248,EKT248,no large aquatic moss macrofossils (none even visible),0,0.965,3.83,1.899,1.826,0.921,4.833,3.934,18.522,5.111,15.826,3.138,7.977,1.018,2.067,0.25,0.359,0.03,0.09,0.38,0.32,0.16,0.03,0,25.2,4.3,8,7,EKT248 FAME,-225.1,2.2,4,3,2.6,-236.4,0.5,4.7,3,2.7,-233.3,0.9,6,3,3.5,-207.9,0.4,4.4,3,2.6,-198.2,0.8,4.8,3,2.8,-215,8.7,4.8,3,5.7,50,3.9,H1801000244,100,684533,49298,33404,41771,5114,9407,7598,18496,350233,4712,13392900,912871,105699,25229,284236,17838,NaN,8392440,1929760,1066160,159774,70724,34224,NaN,4274980,672897,330926,26523,737780,1138145,0.601,0.043,0.029,0.037,0.004,0.008,4.92,435.53,800.71,9632.71,31011294,0.432,0.029,0.003,0.001,0.001,0,0.271,0.062,0.034,0.005,0.001,0,0.138,0.022,0.001,8.189462,7545.194
07CF8L4,1.25,1,0.5,EKT247,EKT247,no large aquatic moss macrofossils (none even visible),0,0.927,3.3,2.491,3.25,1.707,9.203,8.132,39.506,12.188,38.623,8.148,20.453,2.885,5.144,0.669,0.929,0.02,0.08,0.34,0.34,0.18,0.04,0,25.4,3.7,6,6,EKT247 FAME,-274.6,2.3,4.2,3,2.8,-259.4,2.5,3.7,3,2.5,-259.4,0.7,3.6,3,2.1,-239.2,0.4,3.6,3,2.1,-238.4,1,3.6,3,2.2,-262.6,3.3,4.4,3,3.2,28.4,3.3,H1801000206,100,486413,29344,18813,23403,2818,2962,4861,10870,205066,3414,11144800,602623,72917,17199,196825,14144,NaN,6385360,1599960,826505,104242,NaN,27108,NaN,3377620,529843,137636,18306,633599,752501,0.646,0.039,0.025,0.031,0.004,0.004,3.49,421.08,553.62,5697.02,24720627,0.451,0.024,0.003,0.001,0.001,0,0.258,0.065,0.033,0.004,0.001,0,0.137,0.021,0.001,8.044775,7564.971
07CF8L4,1.75,1.5,0.5,EKT246,EKT246,no large aquatic moss macrofossils (none even visible),0,0.902,3.1,3.302,3.401,1.706,8.709,7.732,36.877,10.909,35.417,7.238,19.02,2.646,4.823,0.628,0.892,0.03,0.08,0.35,0.33,0.18,0.04,0,25.3,3.8,6,5,EKT246 FAME,-238.1,4.2,4.7,3,3.7,-241.8,2.4,4.3,3,2.8,-236.8,0.4,3.5,3,2.1,-214,0.8,3.5,3,2.1,-202.5,1.1,3.6,3,2.2,-221.2,7.1,5.2,3,5.1,51.8,3.6,H1801000168,100,402847,22359,14573,21820,1915,4035,4430,9253,174083,2668,9202240,429774,61099,13438,157583,12989,NaN,5616320,1249470,686953,90260,44519,20784,NaN,2928530,485281,159278,16918,660018,628207,0.641,0.036,0.023,0.035,0.003,0.006,2.92,349.55,432.29,6069.04,20814055,0.442,0.021,0.003,0.001,0.001,0,0.27,0.06,0.033,0.004,0.001,0,0.141,0.023,0.001,8.325403,7594.084
07CF8L4,2.25,2,0.5,EKT245,EKT245,no large aquatic moss macrofossils (none even visible),0,0.955,3.31,3.254,4.885,1.699,10.07,7.827,37.599,10.357,37.378,7.527,22.307,2.977,6.478,0.755,1.505,0.04,0.08,0.32,0.32,0.19,0.05,0.01,25.4,4.1,5,8,EKT245 FAME,-238.9,2.3,3.7,2,3.1,-241.5,1,2.9,2,2.2,-236.7,1.6,4.1,2,3.1,-211.6,0.5,3.8,2,2.7,-206,0.9,3,2,2.2,-224.1,0.1,4,2,2.8,46.9,3.1,H1712000012,100,475496,49138,32202,71638,3098,62548,16391,26227,559116,6804,7564330,405077,52906,12068,284003,13447,NaN,4104670,1157440,494412,77437,76403,21585,NaN,2432510,417039,133700,15949,414898,1178583,0.403,0.042,0.027,0.061,0.003,0.053,14.11,423.04,1552.19,12465.03,16768871,0.451,0.024,0.003,0.001,0.001,0,0.245,0.069,0.029,0.005,0.001,0,0.145,0.025,0.001,8.853391,7621.021
07CF8L4,2.75,2.5,0.5,EKT244,EKT244,no large aquatic moss macrofossils (none even visible),0,0.916,3.78,3.447,3.204,1.489,8.265,7.017,34.839,8.86,32.335,5.956,17.622,2.207,4.673,0.465,0.936,0.03,0.08,0.35,0.32,0.17,0.04,0,25.3,4.3,8,6,EKT244 FAME,-238.9,2.4,4.1,3,2.7,-242.1,2.5,4.9,3,3.2,-239.4,0.6,5.9,3,3.4,-211,0.4,4.6,3,2.6,-209.7,1.5,4.8,3,2.9,-231.3,5.1,4.8,3,4.1,42.8,4.3,H1801000242,100,581279,34176,24803,30849,4010,7422,7664,14661,292663,3688,8692850,365083,61471,NaN,205685,14446,NaN,4517240,1155200,555670,78626,70669,19816,NaN,2674040,449056,156500,18501,625744,950319,0.612,0.036,0.026,0.032,0.004,0.008,5.11,324.56,758.53,7552.27,18601998,0.467,0.02,0.003,0,0.001,0,0.243,0.062,0.03,0.004,0.001,0,0.144,0.024,0.001,8.58445,7643.021
07CF8L4,3.25,3,0.5,EKT243,EKT243,no large aquatic moss macrofossils (none even visible),0,0.946,4.11,4.02,4.244,1.85,10.633,8.65,43.877,11.091,40.206,7.127,20.821,2.582,5.4,0.625,1.075,0.03,0.08,0.35,0.32,0.17,0.04,0,25.3,4.2,5,7,EKT243 FAME,-240.2,4.5,4.7,3,3.8,-237.8,0.3,3.6,3,2.1,-232.4,0.8,6.6,3,3.9,-205.7,0.8,5.5,3,3.2,-195.7,1.3,3.7,3,2.3,-216.2,1.9,5.2,3,3.2,55.2,3.1,H1801000200,100,594676,27714,18246,20567,3191,NaN,4502,10569,208219,2789,8585120,443640,65039,NaN,154272,19925,NaN,4661810,1186400,557065,79622,41522,27202,NaN,2592990,419012,145003,18160,565878,858468,0.693,0.032,0.021,0.024,0.004,0,3.89,348.66,598.15,6369.12,18655984,0.46,0.024,0.003,0,0.001,0,0.25,0.064,0.03,0.004,0.001,0,0.139,0.022,0.001,8.254566,7667.211
07CF8L4,3.75,3.5,0.5,EKT242,EKT242,no large aquatic moss macrofossils (none even visible),0,0.79,3.41,3.986,3.053,1.471,8.396,7.364,37.634,10.457,37.396,6.984,19.697,2.495,4.817,0.489,0.923,0.02,0.07,0.34,0.34,0.18,0.04,0,25.4,4.1,6,4,EKT242 FAME,-249.9,2.4,4.8,3,3.1,-246.9,1.8,4.6,3,2.9,-238.7,0.5,3.6,3,2.1,-212.7,0.6,3.6,3,2.1,-205.2,2,3.5,3,2.4,-216.3,3,4.8,3,3.3,55.3,3.7,H1801000162,100,573224,573224,30680,22089,3058,1966,4575,1034,223399,3095,7942100,368580,54809,12763,137606,17827,NaN,4381140,1046630,496095,73493,36034,23299,NaN,2395350,355301,136377,15945,646509,1399607,0.41,0.41,0.022,0.016,0.002,0.001,4.38,336.55,681.06,6072.01,17183331,0.462,0.021,0.003,0.001,0.001,0,0.255,0.061,0.029,0.004,0.001,0,0.139,0.021,0.001,8.116132,7694.97
07CF8L4,4.25,4,0.5,EKT241,EKT241,no large aquatic moss macrofossils (none even visible),0,1.007,4.24,3.801,4.047,1.84,10.218,8.422,41.224,11.34,37.699,7.154,19.677,2.636,5.12,0.634,0.969,0.03,0.08,0.35,0.32,0.17,0.04,0,25.3,4,6,3,EKT241 FAME,-236.7,2.7,4.7,3,3.1,-241,2,4.6,3,2.9,-236.6,0.7,3.6,3,2.1,-211.5,1,3.5,3,2.1,-205.1,0.9,3.6,3,2.1,-221.8,7.6,5.1,3,5.3,47.3,3.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7721.171
07CF8L4,4.75,4.5,0.5,EKT240,EKT240,no large aquatic moss macrofossils (none even visible),0,0.869,3.5,5.668,7.76,3.811,20.06,17.275,84.839,24.856,82.775,15.651,39.213,4.805,9.246,1.213,1.543,0.03,0.08,0.35,0.34,0.16,0.04,0,25.3,3.7,3,8,EKT240 FAME,-233.7,2.3,4.6,3,2.9,-247.6,1.5,4,3,2.5,-232.7,0.7,3.6,3,2.1,-209.9,0.1,3.6,3,2.1,-210.1,1.4,3.9,3,2.4,-211.8,3.6,4.7,3,3.4,49.8,3.5,H1712000011,100,545786,49661,28630,32865,5115,NaN,6757,16737,396948,5740,7094020,329181,47435,12760,146588,19707,NaN,3651900,915388,411606,48177,46088,23753,NaN,2033720,277471,216176,15033,414163,1037756,0.526,0.048,0.028,0.032,0.005,0,11.03,413.66,1403.34,11365.79,14880151,0.477,0.022,0.003,0.001,0.001,0,0.245,0.062,0.028,0.003,0.002,0,0.137,0.019,0.001,7.834495,7748.711
07CF8L4,5.25,5,0.5,EKT239,EKT239,no large aquatic moss macrofossils (none even visible),0,0.855,3.65,2.066,3.189,1.547,8.241,6.624,33.15,9.778,33.283,6.468,17.369,2.406,4.549,0.559,0.851,0.03,0.08,0.34,0.34,0.17,0.04,0,25.4,4,7,4,EKT239 FAME,-233.8,4.4,4.1,3,3.5,-238.2,2.7,3.6,3,2.6,-233.7,0.5,4,3,2.3,-210.2,0.6,3.8,3,2.2,-208.4,2.4,3.6,3,2.5,-208.8,4.1,4.9,3,3.7,39.2,3.6,H1801000233,100,629436,50396,31468,30316,5860,NaN,6805,16480,408599,4553,9678350,476345,65537,17245,176829,24980,NaN,4540400,1094780,440916,58751,67473,32615,NaN,2569520,342323,388838,17657,614352,1130104,0.557,0.045,0.028,0.027,0.005,0,7.78,368.7,1024.79,12058.25,19359419,0.5,0.025,0.003,0.001,0.001,0,0.235,0.057,0.023,0.003,0.002,0,0.133,0.018,0.001,7.49959,7773.479
